
                                                  *****************************
                                                  *  TOTAL    RUN    SUMMARY  *
                                                  *****************************

     TIME STEP              PRODUCTION                   INJECTION     PV WT AQUIFER INFLUX      CUM PRODUCTION       CUM INJECTION
    ---------- ------------------------------------- ----------------   AVG  -------------- ------------------------ ---------------
                  OIL     GAS     WATER    GOR   WATER   GAS   WATER    RES   RATE    CUM     OIL     GAS    WATER    GAS    WATER
                                         SCF/  /OIL                    PRES
     NO.  DAYS   STB/D  MSCF/D   STB/D   STB   RATIO  MSCF/D   STB/D   PSIA  MSTB/D  MMSTB    MSTB   MMSCF   MSTB    MMSCF   MSTB
    ---- ----- -------- ------- ------- ------ ----- -------- ------- ------ ------ ------- ------- ------- ------- ------- -------
      1     0.   14783.  10826.     6.1   732.   0.0       0.      0.  5614.    0.0      0.      1.      1.      0.      0.      0.
      2     0.   14442.  10576.     6.0   732.   0.0       0.      0.  5614.    0.0      0.      3.      2.      0.      0.      0.
      3     0.   14118.  10339.     5.8   732.   0.0       0.      0.  5614.    0.0      0.      4.      3.      0.      0.      0.
      4     0.   13811.  10114.     5.7   732.   0.0       0.      0.  5614.    0.0      0.      6.      4.      0.      0.      0.
      5     1.   13486.   9877.     5.6   732.   0.0       0.      0.  5614.    0.0      0.      7.      5.      0.      0.      0.
      6     1.   13224.   9685.     5.4   732.   0.0       0.      0.  5614.    0.0      0.      8.      6.      0.      0.      0.
      7     1.   12975.   9502.     5.3   732.   0.0       0.      0.  5614.    0.0      0.     10.      7.      0.      0.      0.
      8     1.   12737.   9328.     5.2   732.   0.0       0.      0.  5614.    0.0      0.     11.      8.      0.      0.      0.
      9     1.   12407.   9086.     5.0   732.   0.0       0.      0.  5614.    0.0      0.     13.      9.      0.      0.      0.
     10     1.   12338.   9036.     5.0   732.   0.0       0.      0.  5614.    0.0      0.     13.     10.      0.      0.      0.
     11     1.   12102.   8863.     4.9   732.   0.0       0.      0.  5614.    0.0      0.     15.     11.      0.      0.      0.
     12     1.   11790.   8635.     4.8   732.   0.0       0.      0.  5614.    0.0      0.     16.     12.      0.      0.      0.
     13     1.   11379.   8334.     4.6   732.   0.0       0.      0.  5614.    0.0      0.     19.     14.      0.      0.      0.
     14     2.   11232.   8226.     4.5   732.   0.0       0.      0.  5614.    0.0      0.     20.     15.      0.      0.      0.
     15     2.   11029.   8077.     4.4   732.   0.0       0.      0.  5614.    0.0      0.     22.     16.      0.      0.      0.
     16     2.   10708.   7842.     4.3   732.   0.0       0.      0.  5614.    0.0      0.     24.     18.      0.      0.      0.
     17     2.   10314.   7553.     4.1   732.   0.0       0.      0.  5614.    0.0      0.     28.     20.      0.      0.      0.
     18     2.   10219.   7484.     4.1   732.   0.0       0.      0.  5614.    0.0      0.     29.     21.      0.      0.      0.
     19     3.   10049.   7359.     4.0   732.   0.0       0.      0.  5614.    0.0      0.     31.     23.      0.      0.      0.
     20     3.    9802.   7174.     3.9   732.   0.0       0.      0.  5614.    0.0      0.     34.     25.      0.      0.      0.
     21     3.    9500.   6944.     3.8   731.   0.0       0.      0.  5614.    0.0      0.     38.     28.      0.      0.      0.
     22     4.    9165.   6694.     3.7   730.   0.0       0.      0.  5614.    0.0      0.     44.     32.      0.      0.      0.
     23     5.    8827.   6445.     3.6   730.   0.0       0.      0.  5614.    0.0      0.     52.     38.      0.      0.      0.
     24     6.    8513.   6218.     3.5   730.   0.0       0.      0.  5613.    0.0      0.     64.     47.      0.      0.      0.
     25     9.    8245.   6030.     3.4   731.   0.0       0.      0.  5613.    0.0      0.     82.     60.      0.      0.      0.
     26    12.    7919.   5807.     3.4   733.   0.0       0.      0.  5613.    0.0      0.    108.     79.      0.      0.      0.
     27    15.    7482.   5541.     3.4   741.   0.0       0.      0.  5612.    0.0      0.    132.     97.      0.      0.      0.
     28    16.    7232.   5421.     3.4   750.   0.0       0.      0.  5612.    0.0      0.    141.    103.      0.      0.      0.
     29    18.    7164.   5392.     3.4   753.   0.0       0.      0.  5612.    0.0      0.    154.    113.      0.      0.      0.
     30    21.    7036.   5329.     3.4   757.   0.0       0.      0.  5611.    0.0      0.    173.    128.      0.      0.      0.
     31    25.    6863.   5254.     3.4   766.   0.0       0.      0.  5611.    0.0      0.    201.    149.      0.      0.      0.
     32    26.    6665.   5179.     3.4   777.   0.0       0.      0.  5611.    0.0      0.    211.    157.      0.      0.      0.
     33    29.    6608.   5154.     3.4   780.   0.0       0.      0.  5610.    0.0      0.    227.    169.      0.      0.      0.
     34    32.    6505.   5108.     3.4   785.   0.0       0.      0.  5610.    0.0      0.    249.    187.      0.      0.      0.
     35    37.    6359.   5042.     3.3   793.   0.0       0.      0.  5609.    0.0      0.    282.    213.      0.      0.      0.
     36    39.    6215.   5003.     3.3   805.   0.0       0.      0.  5609.    0.0      0.    294.    223.      0.      0.      0.
     37    42.    6170.   4982.     3.3   807.   0.0       0.      0.  5609.    0.0      0.    312.    237.      0.      0.      0.
     38    47.    6084.   4943.     3.3   812.   0.0       0.      0.  5608.    0.0      0.    339.    259.      0.      0.      0.
     39    53.    5964.   4885.     3.3   819.   0.0       0.      0.  5607.    0.0      0.    378.    291.      0.      0.      0.
     40    56.    5878.   4856.     3.3   826.   0.0       0.      0.  5607.    0.0      0.    392.    303.      0.      0.      0.
     41    59.    5840.   4835.     3.3   828.   0.0       0.      0.  5606.    0.0      0.    414.    321.      0.      0.      0.
     42    65.    5766.   4795.     3.2   832.   0.0       0.      0.  5606.    0.0      0.    446.    347.      0.      0.      0.
     43    73.    5662.   4734.     3.2   836.   0.0       0.      0.  5605.    0.0      0.    493.    386.      0.      0.      0.
     44    86.    5524.   4643.     3.1   840.   0.0       0.      0.  5603.    0.0      0.    561.    444.      0.      0.      0.
     45   101.    5380.   4540.     3.1   844.   0.0       0.      0.  5602.    0.0      0.    642.    512.      0.      0.      0.
     46   116.    5258.   4442.     3.0   845.   0.0       0.      0.  5600.    0.0      0.    721.    579.      0.      0.      0.
     47   131.    5146.   4347.     2.9   845.   0.0       0.      0.  5599.    0.0      0.    798.    644.      0.      0.      0.
     48   146.    5039.   4256.     2.9   845.   0.0       0.      0.  5597.    0.0      0.    874.    708.      0.      0.      0.
     49   161.    4935.   4168.     2.8   845.   0.0       0.      0.  5595.    0.0      0.    948.    770.      1.      0.      0.
     50   176.    4833.   4083.     2.8   845.   0.0       0.      0.  5594.    0.0      0.   1020.    832.      1.      0.      0.
     51   180.    4815.   4066.     2.8   844.   0.0       0.      0.  5594.    0.0      0.   1042.    850.      1.      0.      0.
     52   187.    4767.   4026.     2.7   845.   0.0       0.      0.  5593.    0.0      0.   1074.    877.      1.      0.      0.
     53   197.    4698.   3969.     2.7   845.   0.0       0.      0.  5592.    0.0      0.   1121.    916.      1.      0.      0.
     54   212.    4597.   3887.     2.6   846.   0.0       0.      0.  5590.    0.0      0.   1190.    975.      1.      0.      0.
     55   227.    4503.   3811.     2.6   846.   0.0       0.      0.  5589.    0.0      0.   1257.   1032.      1.      0.      0.
     56   242.    4414.   3737.     2.5   847.   0.0       0.      0.  5588.    0.0      0.   1323.   1088.      1.      0.      0.
     57   257.    4327.   3665.     2.5   847.   0.0       0.      0.  5586.    0.0      0.   1388.   1143.      1.      0.      0.
     58   272.    4243.   3596.     2.4   847.   0.0       0.      0.  5585.    0.0      0.   1452.   1197.      1.      0.      0.
     59   287.    4160.   3528.     2.4   848.   0.0       0.      0.  5584.    0.0      0.   1514.   1250.      1.      0.      0.
     60   302.    4081.   3461.     2.4   848.   0.0       0.      0.  5583.    0.0      0.   1576.   1302.      1.      0.      0.
     61   317.    4004.   3397.     2.3   848.   0.0       0.      0.  5581.    0.0      0.   1636.   1353.      1.      0.      0.
     62   332.    3929.   3334.     2.3   848.   0.0       0.      0.  5580.    0.0      0.   1695.   1403.      1.      0.      0.
     63   347.    3857.   3272.     2.2   848.   0.0       0.      0.  5579.    0.0      0.   1752.   1452.      1.      0.      0.
     64   362.    3788.   3213.     2.2   848.   0.0       0.      0.  5578.    0.0      0.   1809.   1500.      1.      0.      0.
     65   365.    3780.   3203.     2.2   847.   0.0       0.      0.  5578.    0.0      0.   1822.   1511.      1.      0.      0.
     66   370.    3756.   3183.     2.2   847.   0.0       0.      0.  5577.    0.0      0.   1840.   1526.      1.      0.      0.
     67   377.    3721.   3154.     2.2   847.   0.0       0.      0.  5577.    0.0      0.   1868.   1550.      1.      0.      0.
     68   388.    3671.   3111.     2.1   847.   0.0       0.      0.  5576.    0.0      0.   1909.   1584.      1.      0.      0.
     69   403.    3605.   3055.     2.1   847.   0.0       0.      0.  5575.    0.0      0.   1963.   1630.      1.      0.      0.
     70   418.    3543.   3002.     2.1   847.   0.0       0.      0.  5574.    0.0      0.   2016.   1675.      1.      0.      0.
     71   433.    3484.   2950.     2.0   847.   0.0       0.      0.  5573.    0.0      0.   2068.   1719.      1.      0.      0.
     72   448.    3425.   2899.     2.0   846.   0.0       0.      0.  5572.    0.0      0.   2120.   1763.      1.      0.      0.
     73   463.    3369.   2850.     2.0   846.   0.0       0.      0.  5571.    0.0      0.   2170.   1806.      1.      0.      0.
     74   478.    3314.   2802.     1.9   846.   0.0       0.      0.  5570.    0.0      0.   2220.   1848.      1.      0.      0.
     75   493.    3260.   2755.     1.9   845.   0.0       0.      0.  5569.    0.0      0.   2269.   1889.      1.      0.      0.
     76   508.    3207.   2709.     1.9   845.   0.0       0.      0.  5568.    0.0      0.   2317.   1930.      1.      0.      0.
     77   523.    3157.   2665.     1.9   844.   0.0       0.      0.  5567.    0.0      0.   2364.   1969.      1.      0.      0.
     78   538.    3108.   2622.     1.8   844.   0.0       0.      0.  5566.    0.0      0.   2411.   2009.      1.      0.      0.
     79   553.    3060.   2580.     1.8   843.   0.0       0.      0.  5565.    0.0      0.   2457.   2048.      1.      0.      0.
     80   568.    3013.   2539.     1.8   842.   0.0       0.      0.  5564.    0.0      0.   2502.   2086.      1.      0.      0.
     81   583.    2968.   2499.     1.7   842.   0.0       0.      0.  5563.    0.0      0.   2546.   2123.      1.      0.      0.
     82   598.    2924.   2460.     1.7   841.   0.0       0.      0.  5562.    0.0      0.   2590.   2160.      1.      0.      0.
     83   613.    2881.   2422.     1.7   841.   0.0       0.      0.  5562.    0.0      0.   2633.   2196.      1.      0.      0.
     84   628.    2840.   2386.     1.7   840.   0.0       0.      0.  5561.    0.0      0.   2676.   2232.      2.      0.      0.
